t,x,y,z
-8.25561922e-3,+6.77203480e0,+1.50250235e-1,+6.92216295e-1
-2.50661571e-2,+9.68937748e0,+9.96317356e0,+1.39376431e0
-8.87135000e-2,+9.64835700e0,+4.94000544e-1,+4.25702066e0
-8.44610863e-2,+8.35499553e0,+2.04575157e0,+5.03129283e0
-5.39420343e-2,+9.24262657e0,+2.27040645e0,+5.59332295e0
-2.68886584e-2,+7.73460184e0,+2.58446342e-1,+5.84159262e0
-3.81845405e-2,+6.13769208e0,+7.85237693e0,+6.65888552e0
-7.37829367e-2,+7.71986906e0,+2.18696911e0,+7.93713457e0
-3.62250577e-2,+4.78849413e0,+8.76077110e0,+8.70660394e0
-9.36768522e-2,+9.86890568e0,+2.16797563e0,+9.77053397e0
